,,,,
SK_Battery,2050,1,uniform,1
NL_E_Demand,2050,2,uniform,1
BE_E_Demand,2050,2,uniform,1
DE_E_Demand,2050,2,uniform,1
FR_E_Demand,2050,2,uniform,1
DK_E_Demand,2050,2,uniform,1
UK_E_Demand,2050,2,uniform,1
IE_E_Demand,2050,2,uniform,1
CH_E_Demand,2050,2,uniform,1
AT_E_Demand,2050,2,uniform,1
LU_E_Demand,2050,2,uniform,1
CZ_E_Demand,2050,2,uniform,1
PL_E_Demand,2050,2,uniform,1
SE_E_Demand,2050,2,uniform,1
NO_E_Demand,2050,2,uniform,1
ES_E_Demand,2050,2,uniform,1
PT_E_Demand,2050,2,uniform,1
IT_E_Demand,2050,2,uniform,1
MT_E_Demand,2050,2,uniform,1
SI_E_Demand,2050,2,uniform,1
HU_E_Demand,2050,2,uniform,1
SK_E_Demand,2050,2,uniform,1
LT_E_Demand,2050,2,uniform,1
LV_E_Demand,2050,2,uniform,1
EE_E_Demand,2050,2,uniform,1
FI_E_Demand,2050,2,uniform,1
HR_E_Demand,2050,2,uniform,1
GR_E_Demand,2050,2,uniform,1
BG_E_Demand,2050,2,uniform,1
RO_E_Demand,2050,2,uniform,1
CY_E_Demand,2050,2,uniform,1
OBZLL_E_Demand,2050,2,uniform,1
NL_H_Demand,2050,2,uniform,1
BE_H_Demand,2050,2,uniform,1
DE_H_Demand,2050,2,uniform,1
FR_H_Demand,2050,2,uniform,1
DK_H_Demand,2050,2,uniform,1
UK_H_Demand,2050,2,uniform,1
IE_H_Demand,2050,2,uniform,1
CH_H_Demand,2050,2,uniform,1
AT_H_Demand,2050,2,uniform,1
LU_H_Demand,2050,2,uniform,1
CZ_H_Demand,2050,2,uniform,1
PL_H_Demand,2050,2,uniform,1
SE_H_Demand,2050,2,uniform,1
NO_H_Demand,2050,2,uniform,1
ES_H_Demand,2050,2,uniform,1
PT_H_Demand,2050,2,uniform,1
IT_H_Demand,2050,2,uniform,1
MT_H_Demand,2050,2,uniform,1
SI_H_Demand,2050,2,uniform,1
HU_H_Demand,2050,2,uniform,1
SK_H_Demand,2050,2,uniform,1
LT_H_Demand,2050,2,uniform,1
LV_H_Demand,2050,2,uniform,1
EE_H_Demand,2050,2,uniform,1
FI_H_Demand,2050,2,uniform,1
HR_H_Demand,2050,2,uniform,1
GR_H_Demand,2050,2,uniform,1
BG_H_Demand,2050,2,uniform,1
RO_H_Demand,2050,2,uniform,1
CY_H_Demand,2050,2,uniform,1
OBZLL_H_Demand,2050,2,uniform,1
NL_electrolyzer,2050,2,uniform,1
BE_electrolyzer,2050,2,uniform,1
DE_electrolyzer,2050,2,uniform,1
FR_electrolyzer,2050,2,uniform,1
DK_electrolyzer,2050,2,uniform,1
UK_electrolyzer,2050,2,uniform,1
IE_electrolyzer,2050,2,uniform,1
CH_electrolyzer,2050,2,uniform,1
AT_electrolyzer,2050,2,uniform,1
LU_electrolyzer,2050,2,uniform,1
CZ_electrolyzer,2050,2,uniform,1
PL_electrolyzer,2050,2,uniform,1
SE_electrolyzer,2050,2,uniform,1
NO_electrolyzer,2050,2,uniform,1
ES_electrolyzer,2050,2,uniform,1
PT_electrolyzer,2050,2,uniform,1
IT_electrolyzer,2050,2,uniform,1
MT_electrolyzer,2050,2,uniform,1
SI_electrolyzer,2050,2,uniform,1
HU_electrolyzer,2050,2,uniform,1
SK_electrolyzer,2050,2,uniform,1
LT_electrolyzer,2050,2,uniform,1
LV_electrolyzer,2050,2,uniform,1
EE_electrolyzer,2050,2,uniform,1
FI_electrolyzer,2050,2,uniform,1
HR_electrolyzer,2050,2,uniform,1
GR_electrolyzer,2050,2,uniform,1
BG_electrolyzer,2050,2,uniform,1
RO_electrolyzer,2050,2,uniform,1
CY_electrolyzer,2050,2,uniform,1
OBZLL_electrolyzer,2050,2,uniform,1
NL_E_Balance,2050,2,uniform,1
BE_E_Balance,2050,2,uniform,1
DE_E_Balance,2050,2,uniform,1
FR_E_Balance,2050,2,uniform,1
DK_E_Balance,2050,2,uniform,1
UK_E_Balance,2050,2,uniform,1
IE_E_Balance,2050,2,uniform,1
CH_E_Balance,2050,2,uniform,1
AT_E_Balance,2050,2,uniform,1
LU_E_Balance,2050,2,uniform,1
CZ_E_Balance,2050,2,uniform,1
PL_E_Balance,2050,2,uniform,1
SE_E_Balance,2050,2,uniform,1
NO_E_Balance,2050,2,uniform,1
ES_E_Balance,2050,2,uniform,1
PT_E_Balance,2050,2,uniform,1
IT_E_Balance,2050,2,uniform,1
MT_E_Balance,2050,2,uniform,1
SI_E_Balance,2050,2,uniform,1
HU_E_Balance,2050,2,uniform,1
SK_E_Balance,2050,2,uniform,1
LT_E_Balance,2050,2,uniform,1
LV_E_Balance,2050,2,uniform,1
EE_E_Balance,2050,2,uniform,1
FI_E_Balance,2050,2,uniform,1
HR_E_Balance,2050,2,uniform,1
GR_E_Balance,2050,2,uniform,1
BG_E_Balance,2050,2,uniform,1
RO_E_Balance,2050,2,uniform,1
CY_E_Balance,2050,2,uniform,1
OBZLL_E_Balance,2050,2,uniform,1
NL_E_ENS,2050,2,uniform,1
NL_Wind_Onshore,2050,2,uniform,1
NL_Wind_Offshore,2050,2,uniform,1
NL_Solar,2050,2,uniform,1
NL_Gas,2050,2,uniform,1
NL_OCGT,2050,2,uniform,1
BE_E_ENS,2050,2,uniform,1
BE_Wind_Onshore,2050,2,uniform,1
BE_Wind_Offshore,2050,2,uniform,1
BE_Solar,2050,2,uniform,1
BE_Hydro,2050,2,uniform,1
BE_Gas,2050,2,uniform,1
BE_OCGT,2050,2,uniform,1
DE_E_ENS,2050,2,uniform,1
DE_Wind_Onshore,2050,2,uniform,1
DE_Wind_Offshore,2050,2,uniform,1
DE_Solar,2050,2,uniform,1
DE_Hydro,2050,2,uniform,1
DE_Coal,2050,2,uniform,1
DE_Gas,2050,2,uniform,1
DE_OCGT,2050,2,uniform,1
FR_E_ENS,2050,2,uniform,1
FR_Wind_Onshore,2050,2,uniform,1
FR_Wind_Offshore,2050,2,uniform,1
FR_Solar,2050,2,uniform,1
FR_Hydro,2050,2,uniform,1
FR_Nuclear,2050,2,uniform,1
FR_Gas,2050,2,uniform,1
FR_OCGT,2050,2,uniform,1
DK_E_ENS,2050,2,uniform,1
DK_Wind_Onshore,2050,2,uniform,1
DK_Wind_Offshore,2050,2,uniform,1
DK_Solar,2050,2,uniform,1
DK_Gas,2050,2,uniform,1
DK_OCGT,2050,2,uniform,1
UK_E_ENS,2050,2,uniform,1
UK_Wind_Onshore,2050,2,uniform,1
UK_Wind_Offshore,2050,2,uniform,1
UK_Solar,2050,2,uniform,1
UK_Hydro,2050,2,uniform,1
UK_Nuclear,2050,2,uniform,1
UK_Gas,2050,2,uniform,1
UK_OCGT,2050,2,uniform,1
IE_E_ENS,2050,2,uniform,1
IE_Wind_Onshore,2050,2,uniform,1
IE_Wind_Offshore,2050,2,uniform,1
IE_Solar,2050,2,uniform,1
IE_Hydro,2050,2,uniform,1
IE_Gas,2050,2,uniform,1
IE_OCGT,2050,2,uniform,1
CH_E_ENS,2050,2,uniform,1
CH_Wind_Onshore,2050,2,uniform,1
CH_Solar,2050,2,uniform,1
CH_Hydro,2050,2,uniform,1
CH_Nuclear,2050,2,uniform,1
AT_E_ENS,2050,2,uniform,1
AT_Wind_Onshore,2050,2,uniform,1
AT_Solar,2050,2,uniform,1
AT_Hydro,2050,2,uniform,1
AT_Gas,2050,2,uniform,1
LU_E_ENS,2050,2,uniform,1
LU_Wind_Onshore,2050,2,uniform,1
LU_Solar,2050,2,uniform,1
LU_Hydro,2050,2,uniform,1
CZ_E_ENS,2050,2,uniform,1
CZ_Wind_Onshore,2050,2,uniform,1
CZ_Solar,2050,2,uniform,1
CZ_Hydro,2050,2,uniform,1
CZ_Nuclear,2050,2,uniform,1
CZ_Coal,2050,2,uniform,1
CZ_Gas,2050,2,uniform,1
PL_E_ENS,2050,2,uniform,1
PL_Wind_Onshore,2050,2,uniform,1
PL_Wind_Offshore,2050,2,uniform,1
PL_Solar,2050,2,uniform,1
PL_Hydro,2050,2,uniform,1
PL_Coal,2050,2,uniform,1
PL_Gas,2050,2,uniform,1
SE_E_ENS,2050,2,uniform,1
SE_Wind_Onshore,2050,2,uniform,1
SE_Wind_Offshore,2050,2,uniform,1
SE_Solar,2050,2,uniform,1
SE_Nuclear,2050,2,uniform,1
SE_Gas,2050,2,uniform,1
SE_OCGT,2050,2,uniform,1
NO_E_ENS,2050,2,uniform,1
NO_Wind_Onshore,2050,2,uniform,1
NO_Wind_Offshore,2050,2,uniform,1
NO_Solar,2050,2,uniform,1
ES_E_ENS,2050,2,uniform,1
ES_Wind_Onshore,2050,2,uniform,1
ES_Wind_Offshore,2050,2,uniform,1
ES_Solar,2050,2,uniform,1
ES_Hydro,2050,2,uniform,1
ES_Nuclear,2050,2,uniform,1
ES_Gas,2050,2,uniform,1
PT_E_ENS,2050,2,uniform,1
PT_Wind_Onshore,2050,2,uniform,1
PT_Wind_Offshore,2050,2,uniform,1
PT_Solar,2050,2,uniform,1
PT_Hydro,2050,2,uniform,1
PT_Gas,2050,2,uniform,1
IT_E_ENS,2050,2,uniform,1
IT_Wind_Onshore,2050,2,uniform,1
IT_Wind_Offshore,2050,2,uniform,1
IT_Solar,2050,2,uniform,1
IT_Hydro,2050,2,uniform,1
IT_Gas,2050,2,uniform,1
IT_OCGT,2050,2,uniform,1
MT_E_ENS,2050,2,uniform,1
MT_Solar,2050,2,uniform,1
MT_Gas,2050,2,uniform,1
SI_E_ENS,2050,2,uniform,1
SI_Wind_Onshore,2050,2,uniform,1
SI_Wind_Offshore,2050,2,uniform,1
SI_Solar,2050,2,uniform,1
SI_Hydro,2050,2,uniform,1
SI_Nuclear,2050,2,uniform,1
SI_Coal,2050,2,uniform,1
SI_Gas,2050,2,uniform,1
SI_OCGT,2050,2,uniform,1
HU_E_ENS,2050,2,uniform,1
HU_Wind_Onshore,2050,2,uniform,1
HU_Solar,2050,2,uniform,1
HU_Hydro,2050,2,uniform,1
HU_Nuclear,2050,2,uniform,1
HU_Gas,2050,2,uniform,1
HU_OCGT,2050,2,uniform,1
SK_E_ENS,2050,2,uniform,1
SK_Wind_Onshore,2050,2,uniform,1
SK_Solar,2050,2,uniform,1
SK_Hydro,2050,2,uniform,1
SK_Nuclear,2050,2,uniform,1
SK_Coal,2050,2,uniform,1
SK_Gas,2050,2,uniform,1
LT_E_ENS,2050,2,uniform,1
LT_Wind_Onshore,2050,2,uniform,1
LT_Wind_Offshore,2050,2,uniform,1
LT_Solar,2050,2,uniform,1
LT_Hydro,2050,2,uniform,1
LT_Gas,2050,2,uniform,1
LV_E_ENS,2050,2,uniform,1
LV_Wind_Onshore,2050,2,uniform,1
LV_Wind_Offshore,2050,2,uniform,1
LV_Solar,2050,2,uniform,1
LV_Hydro,2050,2,uniform,1
LV_Gas,2050,2,uniform,1
EE_E_ENS,2050,2,uniform,1
EE_Wind_Onshore,2050,2,uniform,1
EE_Wind_Offshore,2050,2,uniform,1
EE_Solar,2050,2,uniform,1
FI_E_ENS,2050,2,uniform,1
FI_Wind_Onshore,2050,2,uniform,1
FI_Wind_Offshore,2050,2,uniform,1
FI_Solar,2050,2,uniform,1
FI_Nuclear,2050,2,uniform,1
FI_Gas,2050,2,uniform,1
FI_OCGT,2050,2,uniform,1
HR_E_ENS,2050,2,uniform,1
HR_Wind_Onshore,2050,2,uniform,1
HR_Wind_Offshore,2050,2,uniform,1
HR_Solar,2050,2,uniform,1
HR_Hydro,2050,2,uniform,1
HR_Coal,2050,2,uniform,1
HR_Gas,2050,2,uniform,1
GR_E_ENS,2050,2,uniform,1
GR_Wind_Onshore,2050,2,uniform,1
GR_Wind_Offshore,2050,2,uniform,1
GR_Solar,2050,2,uniform,1
GR_Hydro,2050,2,uniform,1
GR_Gas,2050,2,uniform,1
GR_OCGT,2050,2,uniform,1
BG_E_ENS,2050,2,uniform,1
BG_Wind_Onshore,2050,2,uniform,1
BG_Solar,2050,2,uniform,1
BG_Hydro,2050,2,uniform,1
BG_Nuclear,2050,2,uniform,1
BG_Coal,2050,2,uniform,1
BG_Gas,2050,2,uniform,1
BG_OCGT,2050,2,uniform,1
RO_E_ENS,2050,2,uniform,1
RO_Wind_Onshore,2050,2,uniform,1
RO_Wind_Offshore,2050,2,uniform,1
RO_Solar,2050,2,uniform,1
RO_Hydro,2050,2,uniform,1
RO_Nuclear,2050,2,uniform,1
RO_Coal,2050,2,uniform,1
RO_Gas,2050,2,uniform,1
RO_OCGT,2050,2,uniform,1
CY_E_ENS,2050,2,uniform,1
CY_Wind_Onshore,2050,2,uniform,1
CY_Solar,2050,2,uniform,1
CY_Gas,2050,2,uniform,1
OBZLL_Wind_Offshore,2050,2,uniform,1
EU_SMR_CCS,2050,2,uniform,1
NL_Battery,2050,2,uniform,1
BE_Battery,2050,2,uniform,1
DE_Hydro_Reservoir,2050,2,uniform,24
DE_Battery,2050,2,uniform,1
DE_Pump_Hydro_Closed,2050,2,uniform,24
DE_Pump_Hydro_Open,2050,2,uniform,24
FR_Hydro_Reservoir,2050,2,uniform,24
FR_Pump_Hydro_Closed,2050,2,uniform,24
FR_Pump_Hydro_Open,2050,2,uniform,24
UK_Battery,2050,2,uniform,1
UK_Pump_Hydro_Closed,2050,2,uniform,24
IE_Battery,2050,2,uniform,1
IE_Pump_Hydro_Closed,2050,2,uniform,24
CH_Battery,2050,2,uniform,1
CH_Pump_Hydro_Closed,2050,2,uniform,24
CH_Pump_Hydro_Open,2050,2,uniform,24
AT_Hydro_Reservoir,2050,2,uniform,24
AT_Battery,2050,2,uniform,1
AT_Pump_Hydro_Closed,2050,2,uniform,24
AT_Pump_Hydro_Open,2050,2,uniform,24
LU_Pump_Hydro_Closed,2050,2,uniform,24
CZ_Hydro_Reservoir,2050,2,uniform,24
CZ_Battery,2050,2,uniform,1
CZ_Pump_Hydro_Closed,2050,2,uniform,24
CZ_Pump_Hydro_Open,2050,2,uniform,24
PL_Hydro_Reservoir,2050,2,uniform,24
PL_Pump_Hydro_Closed,2050,2,uniform,24
PL_Pump_Hydro_Open,2050,2,uniform,24
SE_Hydro_Reservoir,2050,2,uniform,24
SE_Battery,2050,2,uniform,1
NO_Pump_Hydro_Open,2050,2,uniform,24
NO_Hydro_Reservoir,2050,2,uniform,24
ES_Hydro_Reservoir,2050,2,uniform,24
ES_Battery,2050,2,uniform,1
ES_Pump_Hydro_Closed,2050,2,uniform,24
ES_Pump_Hydro_Open,2050,2,uniform,24
PT_Hydro_Reservoir,2050,2,uniform,24
PT_Pump_Hydro_Open,2050,2,uniform,24
IT_Hydro_Reservoir,2050,2,uniform,24
IT_Battery,2050,2,uniform,1
IT_Pump_Hydro_Closed,2050,2,uniform,24
IT_Pump_Hydro_Open,2050,2,uniform,24
SI_Battery,2050,2,uniform,1
SI_Pump_Hydro_Closed,2050,2,uniform,24
HU_Battery,2050,2,uniform,1
SK_Hydro_Reservoir,2050,2,uniform,24
SK_Pump_Hydro_Closed,2050,2,uniform,24
SK_Pump_Hydro_Open,2050,2,uniform,24
LT_Battery,2050,2,uniform,1
LT_Pump_Hydro_Closed,2050,2,uniform,24
FI_Hydro_Reservoir,2050,2,uniform,24
FI_Battery,2050,2,uniform,1
HR_Hydro_Reservoir,2050,2,uniform,24
HR_Battery,2050,2,uniform,1
HR_Pump_Hydro_Open,2050,2,uniform,24
GR_Hydro_Reservoir,2050,2,uniform,24
GR_Battery,2050,2,uniform,1
GR_Pump_Hydro_Closed,2050,2,uniform,24
GR_Pump_Hydro_Open,2050,2,uniform,24
BG_Hydro_Reservoir,2050,2,uniform,24
BG_Pump_Hydro_Closed,2050,2,uniform,24
BG_Pump_Hydro_Open,2050,2,uniform,24
RO_Hydro_Reservoir,2050,2,uniform,24
RO_Battery,2050,2,uniform,1
RO_Pump_Hydro_Open,2050,2,uniform,24
CY_Battery,2050,2,uniform,1
DK_Battery,2050,2,uniform,1
BG_Battery,2050,2,uniform,1
FR_Battery,2050,2,uniform,1
LV_Battery,2050,2,uniform,1
PT_Battery,2050,2,uniform,1
SK_Battery,2050,2,uniform,1
